Unnamed: 0,text,sentiment,sentimento_previsto
152,"O programa, criado pelo Congresso Nacional em março como resposta ao novo coronavírus, previa o pagamento de três parcelas mensais de R$ 600,00. No último sábado (27), a Caixa Econômica Federal começou a liberar os pagamentos da terceira parcela.",Neutro,NEUTRAL
154,"Conforme a BrMalls, o destaque seguirá com o engajamento dos consumidores por meio do programa de relacionamento, iniciativas de omnicanalidade que potencializam vendas dos lojistas e novas receitas e monetização através de mídia digital.",Positivo,POSITIVE
155,"Mesmo assim, o executivo acredita que reuniões de rotina continuarão sendo centradas no digital, mesmo que parte da equipe esteja junta na mesma sala.",Neutro,NEUTRAL
156,"Desempenho de agostoA carteira de dividendos da Um Investimentos marcou queda de 10,15% em agosto, contra queda de 8,33% do Ibovespa no mesmo período.",Negativo,NEGATIVE
157,"A proposta, reunindo os dois pilares, será levada à reunião do G-20, em julho, para assegurar mais apoio. Em seguida, deverá ser discutida no âmbito da OCDE, para que se torne efetivamente um imposto global.",Neutro,NEUTRAL
158,"Sinergias não faltam entre a experiência de Lutz e as necessidades da Ultrapar. Formação de chapa de conselho de administração é assunto para lá de sério no grupo dos Igel. É estruturada com bastante antecedência e com a busca de consenso entre os diversos participantes do acordo que amarra agora 37% do capital da empresa, desde que a gestora Pátria Investimentos também aderiu ao contrato.",Positivo,POSITIVE
159,"A EDF foi forçada a adiar um dos maiores projetos de energia nuclear do mundo por dois anos, em parte por que terá de realizar novos e rígidos testes de segurança, depois do desastre nuclear de Fukushima no Japão.",Negativo,NEGATIVE
160,"O que a Housi propõe, naturalmente, é que o benefício-moradia seja utilizado em um de seus apartamentos (são mais de 6.000), todos mobiliados e prontos para morar. A locação é 100% digital, o que significa que não há nenhuma burocracia envolvida — até o fiador é dispensável. O pagamento é online e há atendimento 24 horas por dia, sete dias por semana.",Positivo,POSITIVE
161,"Mariana Vasconcelos é a CEO e fundadora da Agrosmart, empresa sediada em Campinas e focada no cultivo inteligente. A companhia criou um aplicativo que permite monitorar com precisão onde há a necessidade de adicionar água ou não nas lavouras. O monitoramento, feito tanto via imagens de satélite quando por sensores espalhados na fazenda, ocorre em tempo real e fica à disposição na tela do celular do produtor.",Positivo,POSITIVE
163,"O especialista da Exame Research conclui dizendo que a tecnologia traz ""agilidade, transparência e uniformidade de dados entre os participantes do mercado"" e por isso o blockchain pode ser importante para as instituições financeiras.",Positivo,POSITIVE
164,Democracia e economia de mercado seria a melhor combinação ao alcance das mãos — e só nesse sentido é que a história havia terminado. Ele nunca afirmou que esse modelo de economia e política seria necessariamente abraçado por todos.,Neutro,NEUTRAL
166,"“Compre AHS+Luggo e leve MRV Brasil por centavos”, diz BBI, que reforça MRVE3 como principal escolha do setor",Positivo,NEUTRAL
167,"O estudo, que foi publicado em janeiro, analisa satisfação, lealdade e predisposição para recomendar o empregador atual. Isso é relevante porque, de acordo com a empresa, em 2018 o número de trabalhadores que deixarão seus empregos superará o de 2012 em 49 milhões. “Isso faz com que o engajamento e felicidade do funcionário seja essencial para qualquer estratégia de negócio”, explica o texto.",Neutro,NEUTRAL
168,"Dólar inverte e opera em alta, negociado a R$ 1,753",Positivo,POSITIVE
169,"Os spreads dos credit default swaps (CDSs, instrumentos que asseguram o investidor contra a inadimplência do tomador) de ambos os países diminuíram. A possibilidade aventada de emissão conjunta de títulos da zona do euro contribuiu para puxar o rendimento do Bund alemão para até 2,37%, antes de seu recuo para 2,32%, que reflete uma queda de 1 ponto-base no dia.",Negativo,NEGATIVE
170,"Neste ano, a Singapore Airlines foi eleita a melhor empresa de aviação do mundo e seus serviços de primeira classe também foram escolhidos como os melhores do mundo, segundo o World’s Best First Class Airlines 2018, famoso ranking elaborado pela consultoria Skytrax.",Positivo,POSITIVE
171,"SÃO PAULO – O tom de cautela visto no fechamento dos mercados acionários ontem volta a aparecer na manhã desta terça-feira. Mesmo com a aprovação pela Câmara dos EUA do acordo que eleva o teto da dívida do país, as preocupações com o lento ritmo de recuperação mundial seguem limitando a atuação de risco dos investidores.",Negativo,NEGATIVE
172,"O grupo registrou receita bruta de R$ 548,3 milhões no trimestre. Quando acumulados os nove primeiros meses do ano, ela chegou a R$ 1,6 bilhão, quase 50% acima do mesmo período do ano passado.",Positivo,POSITIVE
173,"As vendas líquidas da RNI (RNDI3) para o 3T21 totalizaram R$ 149 milhões, 8% superior na base anual. No acumulado dos nove meses de 2021, a companhia registrou R$ 481 milhões em vendas líquidas, 26% superior aos primeiros nove meses do ano passado.",Positivo,POSITIVE
174,"Segundo Grossi, a maioria dos empresários relatou prejuízos aos seus negócios em decorrência do aumento no desmatamento. Alguns chegaram a relatar quedas no fluxo de investimentos estrangeiros e dificuldades de acesso a mercados desenvolvidos. “Os empresários querem vender seus produtos em mercados de alto valor, que paga um prêmio pela conservação do meio ambiente”, afirmou, em coletiva realizada após o encontro.",Negativo,NEGATIVE
176,Boa Safra conclui ampliação de fábrica de sementes de soja em Goiás,Positivo,POSITIVE
177,"E para uma empresa que tinha começado a recuperar sua imagem diante do público americano, o impacto pode ser devastador.",Negativo,NEGATIVE
178,"No acumulado do ano, o IPCA-15 registra inflação de 2,58%.",Positivo,POSITIVE
179,"Segundo informa o Guardian, Stoltenberg ressalta que a OTAN estava “preparada para o pior” enquanto mantinha a esperança de que Putin tivesse um desejo sincero de encontrar um caminho diplomático para a crise, o que, em sua visão, não é o que está acontecendo.",Negativo,NEGATIVE
180,"Desde o IPO, mesmo antes dos resultados de hoje, a ação já acumulava alta de quase 100% até o pregão de terça-feira, 30.",Positivo,POSITIVE
181,"As suspeitas com a verdadeira intenção do plano nuclear iraniano levaram vários países ocidentais a impor sanções contra Teerã, que defende que seu plano é pacífico.",Negativo,NEGATIVE
182,"O movimento, coordenado pela Associação Médica Brasileira (AMB), pelo Conselho Federal de Medicina (CFM) e pela Federação Nacional dos Médicos (Fenam), tem o objetivo de protestar contra a baixa remuneração e as más condições de trabalho no SUS. A estimativa é que 100 mil profissionais de saúde deixem de trabalhar amanhã.",Negativo,NEGATIVE
184,"A Smart, marca da Mercedes-Benz, acaba de lançar na Europa um sistema por meio do qual o Iphone torna-se um computador de bordo, que oferece chamadas telefônicas por voz, coleção de música, internet e sistema de navegação. O kit acompanha um porta-celular, que pode ser fixado no painel - solução que acaba com a angústia de quem não sabe onde acomodar o aparelho dentro do veículo.",Positivo,POSITIVE
185,"Marcelo Queiroga, afirmou nesta terça-feira (16) que dará continuidade ao trabalho do ministro da Saúde, general Eduardo Pazuello, e garantiu que a política de enfrentamento à covid-19 no país ""é do governo Bolsonaro e não do ministro da Saúde"".",Negativo,NEGATIVE
186,"O ministro de Transportes da Malásia, Liow Tiong Lai, confirmou que, com base no que foi pactuado, a operação só terá um custo econômico para o governo se for concluída com sucesso.",Neutro,NEUTRAL
187,"No extremo oposto está  Curitiba (PR), que garantiu o primeiro lugar no ranking entre as melhores capitais do país, com índice de 0,695. Segundo o estudo, a cidade tem bons resultados nas quatro áreas analisadas pela consultoria.",Positivo,POSITIVE
190,"Esta sexta-feira (30) marca a estreia das ações da ClearSale (CLSA3), companhia de soluções antifraude e score de crédito. Os papéis CLSA3 saltaram 14%, a R$ 28,50, após chegarem a subir 21,40%, a R$ 30,35, na máxima do dia.",Positivo,POSITIVE
191,"O Ibovespa subiu 2,15%, aos 59.458 pontos, maior pontuação desde 18 de outubro. Na máxima, o índice alcançou 59.560 pontos (2,32%). No acumulado de novembro, a bolsa já sobe 4,2%.",Positivo,POSITIVE
192,"O Wall Street reportou anteriormente que o Airbnb planeja entrar com pedido de IPO no fim deste mês. O Airbnb não quis comentar o assunto. Os planos da empresa podem mudar dependendo da evolução da pandemia nos Estados Unidos, disseram as pessoas.",Neutro,NEUTRAL
193,"O acordo permitirá aumentar em mais de três vezes a capacidade produção do REGN-COV2, segundo o laboratório Roche. Os grupos já iniciaram o processo de transferência de tecnologia.",Positivo,POSITIVE
195,"Para 2012, as entidades projetam nova melhora no nível de emprego no setor, com expansão de 2,1% no número de postos de trabalho (para 233,6 mil).",Positivo,POSITIVE
196,"Na avaliação dele, no entanto, a diminuição do preço da energia elétrica poderia ser maior se fosse promovido um novo leilão de concessões. “Mas a princípio, [a medida] é muito positiva do ponto de vista econômico”, disse Cavalcanti.",Positivo,NEGATIVE
198,Entidades veem censura e ataque à liberdade de imprensa,Negativo,NEGATIVE
199,"A reunião das duas divisões vai racionalizar as estratégias da HP, trazendo impactos em segmentos como marca, logística e suporte aos clientes em todo o mundo, informou a companhia. A empresa diz esperar que a reorganização ofereça oportunidades de redução de custos, avanço em inovação e crescimento rentável. ""Essa combinação vai reunir dois negócios em que a HP estabeleceu uma liderança global"", disse Meg Whitman, executiva-chefe da HP.",Positivo,POSITIVE
200,Mendonça retoma articulação e líderes evangélicos prometem reforço no “beija-mão” de parlamentares,Neutro,NEUTRAL
201,"É uma preocupação muito forte, porque sabemos que o ano que vem é um ano eleitoral. Acho que essa condição de uma agenda comum entre Congresso e Executivo precisa ser aproveitada. É uma reforma difícil, e nós temos de mobilizar Estados, municípios, ter esses entendimentos, na verdade. E o Congresso a partir de junho e julho vai estar com uma outra agenda.",Neutro,NEUTRAL
203,"SÃO PAULO – Estimulada por ganhos na parte financeira de suas demonstrações de resultados, a fabricante de autopeças Autometal registrou lucro de R$ 48,62 milhões no terceiro trimestre, superando em 12,5% o desempenho de um ano antes.",Positivo,POSITIVE
204,"A questão é mais preocupante em mercados emergentes, onde o custo dos alimentos responde por uma parcela maior dos gastos das famílias, e em países atingidos pela crise. No Líbano, o grupo militante Hezbollah reforçou seu poder no país com a distribuição de alimentos. Mas mesmo os Estados Unidos tomam medidas para aumentar o acesso a alimentos, o que se tornou mais urgente durante a pandemia de coronavírus.",Negativo,NEGATIVE
205,Lucro da Comcast cresce 30% no primeiro trimestre,Positivo,POSITIVE
206,"Até o dia 16 de agosto, os estabelecimentos podem funcionar com 80% de capacidade e até as 24h. De autoria do governo estadual, o Plano São Paulo regulamenta as atividades econômicas ao longo da pandemia de Covid-19.",Neutro,NEUTRAL
207,"Estrangeiras pressionaram preços de seguros de carro, diz SulAmérica",Negativo,NEGATIVE
208,As próprias gestoras puderam determinar para qual subcategoria os fundos DI iriam —a maioria foi para “Fundos de Renda Fixa Duração Baixa Soberano” ou “Fundo de Renda Fixa Duração Baixa Grau de Investimento”.,Neutro,NEUTRAL
209,"A receptividade negativa da desvinculação foi um dos temas responsáveis por atrasar a tramitação da PEC. A expectativa no Senado era iniciar a votação nesta quinta-feira, mas, sem acordo, o tema ficou para ao menos a próxima quarta-feira, 3 -- até lá, uma desidratação do texto deve ocorrer. O embate deve atrasar a aprovação do auxílio emergencial: o governo estuda enviar uma Medida Provisória sobre o novo auxílio, possivelmente de 250 reais, após a PEC Emergencial.",Negativo,NEGATIVE
210,"A Comissão Parlamentar de Inquérito (CPI) da Petrobras (PETR3; PETR4) ouve, nesta tarde, o ex-diretor de Refino e Abastecimento da estatal Paulo Roberto Costa, preso na Operação Lava Jato, da Polícia Federal. A reunião ocorrerá às 14h30, no plenário 5.",Negativo,NEGATIVE
211,Produção da Petrobras (PETR3;PETR4); balanços de Suzano (SUZB3) e Dexco (DXCO3) e mais notícias de empresas,Neutro,NEUTRAL
212,"Segundo Marcelo Peixoto, CEO da Minds, o uso de IA e aprendizado de máquina para autenticar os clientes utilizando sua própria voz é uma das principais tendências em prevenção para a Black Friday.",Positivo,POSITIVE
213,"A declaração é uma resposta à denúncia do Ministério Público Federal (MPF) feita nesta sexta-feira contra executivos da Odebrecht e da Andrade Gutierrez, que alegou, entre outras coisas, que o dano causado pelo contrato de nafta entre Braskem e Petrobras à petroleira é estimado em R$ 6 bilhões.",Negativo,NEGATIVE
214,"Na comparação, os Estados Unidos estão relativamente fortes e cresceram 2,4% em 2015. O número desacelerou no quarto trimestre, mas não tanto quanto estimado anteriormente, puxado por fortes gastos dos consumidores.",Positivo,POSITIVE
215,"BRASÍLIA - O presidente da Câmara de Política de Gestão, Desempenho e Competitividade da Presidência da República, o empresário Jorge Gerdau, disse há pouco que falta uma cooperação conjunta dos bancos centrais mundiais para superar a crise econômica global.",Negativo,NEGATIVE
216,"Após aquisições, Nubank anuncia expansão para a Colômbia",Positivo,POSITIVE
217,"Agora, com uma maior integração ao sistema de Nuvem e a futura adaptação do sistema para outras plataformas, usuários poderão acessar esses jogos de qualquer dispositivo e sem a necessidade de realizar um download.",Positivo,POSITIVE
219,A preocupação com capacitação é mesmo fundamental. Não se pode correr o risco de atravessar um momento de virada sem preparação. Muitos dos desafios que ligam a transformação digital à gestão de pessoas já são visíveis. Um exemplo: muitas das relações profissionais tornaram-se essencialmente virtuais em 2020 — uma mudança experimentada de diferentes formas.,Neutro,NEUTRAL
221,"De acordo com o Ministério da Economia, Guedes ressaltou o engajamento de sua equipe com o processo formal de adesão à OCDE e o alinhamento do país com os valores da organização. Afirmou que as reformas econômicas estruturantes continuarão a ser realizadas.",Positivo,POSITIVE
222,"A oferta de plantas em tamanho reduzido, como já acontece com as orquídeas, vem ganhando força, com vistas ao consumidor que tem pouco - ou nenhum - espaço para manter um jardim. E, com preços também menores, ajuda a melhorar os números do setor. ""Em épocas de dificuldade financeira o consumidor de flores ajusta o preço da planta a seu orçamento, sem deixar de comprar"", afirma a gerente de vendas do Terra Vida, Bia Mazzer. O miniantúrio, por exemplo, deve chegar ao varejo por preço em torno de R$ 12.",Positivo,POSITIVE
223,"A decisão dos próximos aeroportos a serem concedidos sairá da presidente Dilma Rousseff em conjunto com a Secretaria da Aviação Civil. Responsável por preparar os modelos das futuras concessões, a Anac ainda não recebeu nenhum pedido, segundo Guaranys.",Neutro,NEUTRAL
224,"BofA tem lucro modesto, mas bate previsões",Positivo,POSITIVE
225,"SÃO PAULO - O volume de novos contratos de aluguel de imóveis residenciais na cidade de São Paulo aumentou 6% no segundo trimestre ante o primeiro trimestre, segundo levantamento da Lello Imóveis. O valor médio dos aluguéis residenciais novos subiu na mesma proporção, para R$ 1,7 mil. A maior busca é por imóveis menores, próximos a estações de metrô e a oferta de serviços, como escolas. O modelo de garantia mais recorrente foi o de fiador (55%), seguido por seguro-fiança (37%) e caução (6%).",Positivo,POSITIVE
226,"Já em relação ao Índice Nacional de Preços ao Consumidor Amplo (IPCA) houve uma revisão de alta a 3,2% para uma menor, de 3,1% em 2020. Para 2021, a revisão foi de 3,75% para 3,65%.",Negativo,NEUTRAL
227,Invepar escolhe presidente para consórcio de Guarulhos,Neutro,NEUTRAL
228,"Para isso, a montadora disponibilizou o site http://www.honda.com.br/recall/autos ou o telefone 0800-701-3432 para a consulta dos proprietários.",Negativo,NEGATIVE
229,"Detectar ideias de negócios que podem ser replicados em outros mercados é, sem dúvida, um dos pilares do sucesso da estratégia. Mas, como bem se sabe, há hoje inúmeros empreendedores de olho em oportunidades no ambiente online.",Neutro,POSITIVE
230,São Paulo - As projeções para a economia brasileira não param de piorar.,Negativo,NEGATIVE
231,"A Taurus exporta 84% da produção para 100 países e é a quarta maior no mercado americano, o maior do mundo. A companhia gaúcha tem uma fábrica na Flórida desde 1981. Com incentivo do governo da Geórgia, a fábrica será transferida para esse estado e até 2020 deverá dobrar a capacidade de produção para 800.000 armas ao ano, de olho na onda armamentista do governo de Donald Trump. Recentemente, a Taurus assinou um memorando de intenções para abrir uma sociedade na Índia, um dos maiores mercados do setor.",Positivo,POSITIVE
232,- Dilma mantém Turismo com PMDB e aliado de Sarney,Neutro,NEUTRAL
234,"O atual endividamento de US$ 28,9 trilhões vem se acumulando há décadas. Os principais impulsionadores incluem programas de gastos populares, como Seguro Social e Medicare, juros sobre a dívida e pacotes de alívio pela pandemia recentes. Mas a tributação também é um fator importante, e uma série de cortes de impostos promulgados por presidentes republicanos nas últimas décadas também contribuíram para isso.",Negativo,NEGATIVE
235,"As empresas deverão comunicar aos passageiros o prazo previsto para resposta, que não pode ser maior que cinco dias úteis. Precisarão, ainda, elaborar relatórios semestrais sobre os atendimentos, que serão encaminhados à Anac em até 30 dias após o final de cada semestre.",Neutro,NEUTRAL
237,"Dezenas de grandes nomes chegaram. Havia um contingente tecnológico: Keith Rabois, um dos fundadores e investidor do PayPal, e seu marido. Depois, seu amigo Peter Thiel, investidor de tecnologia e conhecido conservador. Jon Oringer, fundador do banco de fotografia Shutterstock, e o magnata da mídia Bryan Goldberg. Steven Galanis, chefe do produto de vídeo de celebridades Cameo, está aqui. Elon Musk está falando sobre a construção de túneis para carros sob Miami.",Neutro,NEUTRAL
238,"Entre os fatores de risco associados à empresa apontados no prospecto está o de não renovação das concessões. Segundo informa a companhia, os contratos de ativos de transmissão — que vencem entre 2030 e 2042 — preveem a prorrogação automática por mais um período após o vencimento. Já no segmento de geração, no qual os contratos vencem entre 2032 e 2047, não há previsão de renovação automática.",Neutro,NEUTRAL
239,"Se por um lado o ambiente local é sempre muito incerto, por outro isso cria uma certa previsibilidade – por mais estranho que pareça –, permitindo aos investidores daqui se aproveitarem desses altos e baixos já tão presentes em nossa história.",Positivo,POSITIVE
243,"São Paulo -  O Toyota Hilux foi o carro que menos depreciou em 2019. Segundo o levantamento da KBB Brasil, o modelo em vez de depreciar, acabou se valorizando, após um ano de uso. Ou seja, o valor do carro usado é mais caro do que o 0 km no passado.",Positivo,POSITIVE
248,"Em dividendos, foram provisionados R$ 17,7 milhões em 2011, sendo que R$ 13,1 milhões foram pagos a título de antecipação e R$ 4,6 milhões serão pagos em 2012. A empresa afirmou que proporá adicionalmente em Assembleia a distribuição de dividendos complementares no montante de R$ 12,9 milhões, correspondendo a R$ 0,28039 para cada ação ordinária nominativa e R$ 0,33647 para cada ação preferencial nominativa.",Positivo,NEUTRAL
250,"Após um mês de fortes desvalorização das imobiliárias, as ações do setor tiveram um repique de alta nesta semana, mitigando parte das perdas acumuladas desde o início de maio. Os papéis da PDG Realty (PDGR3) ficaram com o primeiro posto do Ibovespa, com alta de 13,56% e cotados a R$ 3,60. O ativo PDGR3 havia registrado a maior queda na semana anterior, chegando a recuar mais de 30%.",Positivo,POSITIVE
253,"Análise técnica da Itaú Corretora, assinada por Marcello Rossi, mostra que o Ibovespa segue em tendência de baixa no curto prazo, com suporte em 52.400 pontos e forte suporte em 51.800 pontos. “Abaixo deste, abre espaço para queda, seguindo em direção ao fundo em 47.800 pontos.”",Negativo,NEGATIVE
254,17h50 – União Europeia condena movimento de Putin em Donetsk e Lugansk,Negativo,NEGATIVE
255,Usuários que tentaram acessar o ConecteSUS relataram que seus comprovantes de vacinação não estavam constando na plataforma. O site também saiu do ar.,Neutro,NEGATIVE
256,"""Acredito que Antifa não é nada comparado entre agora e o que virá em 2020, e estou profundamente preocupado"", afirmou.",Negativo,NEGATIVE
257,"""É muito difícil você segurar o monetário quando o fiscal está descontrolado"", afirmou. ""Precisamos ter um pano de consolidação fiscal. Sempre digo que, nesse sentido, o BC não é o piloto, é o passageiro. Se a gente não conseguir achar equilíbrio fiscal, o lado monetário fica bem menos eficiente.""",Negativo,NEGATIVE
258,"“O nosso trabalho começa levando informação que pode ser útil a um investidor que já tem boa bagagem”, explica Camila. “Só depois é que partimos para um diagnóstico sobre o status das aplicações de quem está interessado no nosso trabalho.”",Neutro,NEUTRAL
259,"A processadora de alimentos JBS cresceu 0,65%, diante de expectativas positivas para a demanda externa devido à peste suína africana. Já a BRF caiu 1,88%, após comunicado da véspera de que Caixa de Previdência dos Funcionários do Banco do Brasil (Previ) reduziu fatia na empresa para 9,98%. A BRF afirmou nesta sexta que avalia emissão de bônus no exterior.",Neutro,POSITIVE
260,"O grupo realiza uma letal rebelião de sua base na península do Sinai, fronteiriça com Israel e com a Faixa de Gaza, e matou centenas de policiais e de soldados.",Negativo,NEGATIVE
262,"Estou redigindo este parágrafo em um café, com um tablet. Até aí, nada de especial. Quando olho ao redor, vejo várias pessoas trabalhando com o iPad, o tablet da Apple. Só que o aparelho que estou usando é bem diferente - aliás, é histórico. É o primeiro computador fabricado pela Microsoft, empresa que por décadas fez questão de produzir apenas o software que faz outros computadores funcionarem.",Neutro,NEUTRAL
263,"Barbutti destaca o fato de os investidores estrangeiros, que mantêm apostas a favor do real na BM&F, não terem aumentado significativamente suas posições em prol da moeda brasileira.",Negativo,NEUTRAL
265,"São Paulo – Nesta quarta-feira (19), por ordem do juiz federal Sergio Moro, o Banco Central bloqueou R$ 606 mil do ex-presidente Luiz Inácio Lula da Silva.",Negativo,NEGATIVE
266,O jornal português O Público destacou que Bolsonaro culpou os índios pelos incêndios na Amazônia.,Negativo,NEGATIVE
267,"Se o maior problema da sua vida financeira atualmente são as dívidas, saiba que você não está sozinho. Essa é a realidade de mais de 61 milhões de brasileiros que, por não terem conseguido arcar com os compromissos financeiros assumidos, estão com o nome sujo nos órgãos de proteção ao crédito.",Negativo,NEGATIVE
268,"Rio de Janeiro - A mineradora Samarco apresentou ao órgão ambiental de Minas Gerais (Semad) um plano que prevê a estabilização definitiva da barragem de Fundão, que se rompeu em 2015, em Mariana (MG), e sua completa recuperação ambiental até 2022, disse à Reuters, nesta quinta-feira, o gerente-geral de Estratégia, Gestão e Informação da companhia, Alexandre Souto.",Negativo,NEGATIVE
270,"“Nos próximos meses devemos sentir no varejo o aumento dos produtos industriais e agropecuários registrados no atacado em agosto. A pressão deve chegar ao Índice de Preços ao Consumidor Amplo (IPCA), mas não tão forte como registrado agora”, afirmou Lima, que projetava o IGP-DI em 0,53% para o mês passado.",Negativo,NEGATIVE
271,"Mais de 80% dos idosos acima de 60 anos também já se vacinaram. O país é o que tem mais doses aplicadas no mundo, e a vacinação já foi aberta a adultos jovens, acima de 18 anos.",Positivo,POSITIVE
272,"O relator da CPMI concluiu que as acusações de Rodrigo Janot que levaram às duas denúncias contra o presidente da República, Michel Temer, são infundadas.",Negativo,NEGATIVE
274,A agência de notícia iraniana Fars disse que a Guarda tomou o controle do Stena Impero na sexta-feira após o navio ter colidido com um barco de pesca iraniano e ignorado seu pedido de ajuda.,Negativo,NEGATIVE
275,"No acumulado do ano, com 203 dias úteis, o superávit é de US$ 23,607 bilhões, com exportações de US$ 205,086 bilhões e importações de US$ 181,479 bilhões. No período, a média por dia útil, de saldo, é de US$ 116,3 milhões.",Positivo,POSITIVE
276,"O movimento de valorização dos títulos foi generalizado, com todos os papéis disponíveis para compra no Tesouro superando a variação de 0,48% do CDI, o principal referencial das aplicações de renda fixa, no mês. Sete de nove títulos ainda tiveram alta acima do avanço de 2,36% do Ibovespa. O único papel não considerado no levantamento foi o Tesouro Selic, dado que seu retorno segue a variação da Selic.",Positivo,POSITIVE
277,O custo total estimado para a realização da incorporação será de R$90mil.,Neutro,NEUTRAL
278,"Ainda assim, mesmo com toda essa piora de ambiente e destruição de valor nos mercados, não dá para falar que o lado real da economia brasileira foi comprometido a ponto de levar o Banco Central (BC) a começar a reverter um ciclo de alta de juros cujos efeitos nem se manifestaram por completo.",Negativo,NEGATIVE
280,"Em agosto, o ministro assinou uma portaria cancelando os repasses de verbas para as produções — que já estavam em fase final de desenvolvimento.",Negativo,NEGATIVE
281,"Na reunião, os parlamentares aprovaram 59 requerimentos para convidar mais de 200 nomes para debater a reforma administrativa, na maior parte representantes de sindicatos e associações profissionais de servidores públicos. Os convidados mais aguardados são os ministros da Casa Civil, Luiz Eduardo Ramos, e da Economia, Paulo Guedes.",Neutro,NEUTRAL
282,"Os preços no atacado aceleraram a alta e voltaram a subir no varejo, levando o Índice Geral de Preços-Disponibilidade Interna (IGP-DI) a avançar 1,60% em junho, contra alta de 1,07% no mês anterior, de acordo com os dados divulgados nesta quarta-feira pela Fundação Getulio Vargas (FGV).",Negativo,NEGATIVE
283,"A Confibra, localizada em Hortolândia, no interior do estado de São Paulo, tem capacidade de produção na ordem de 14 mil toneladas/mês, o que representará um aumento de capacidade de cerca de 20% no parque industrial da Eternit. A operação, que deve ser concluída nas próximas semanas, busca fortalecer a posição da Eternit em São Paulo, onde a companhia não possui nenhuma unidade fabril do produto.",Positivo,POSITIVE
284,"De acordo com o órgão, o índice de rotatividade – que representa quantas vezes um mesmo megawatt-hora foi negociado entre os agentes antes de chegar ao consumidor final – foi de 3,75 em agosto, contra 3,48 em julho.",Positivo,POSITIVE
285,"O combate à corrupção no Brasil - justo, necessário e urgente — tornou-se refém de fanáticos que nunca esconderam que também tinham um projeto de poder. Dentro do que é cabível a um ministro do STF, procurei evidenciar tais desvios. E continuarei a fazê-lo em defesa da Constituição e do devido processo legal.",Neutro,NEUTRAL
287,"PARIS - A crise da dívida da Europa, o crescimento mais lento no continente e um plano de mudanças sem brilho levaram a varejista francesa Carrefour registrar uma queda de 14% no lucro no ano passado, para 371 milhões de euros, ante os 433 milhões de euros registrados em um ano antes. As vendas líquidas, guiadas quase exclusivamente pelo crescimento em mercados emergentes, subiram 0,9%, alcançando 81,271 bilhões de euros em 2011.",Negativo,NEGATIVE
288,"A Citrix está perto de um acordo de US$ 13 bilhões pelo qual pode ser comprada e ter seu capital fechado, na maior operação de compra alavancada em meses. A companhia americana de software está sendo negociada pelos fundos Elliott Management e Vista Equity por US$ 104 a ação, de acordo com pessoas a par das discussões. A Citrix e a Elliott não responderam aos pedidos de entrevista, e a Vista se recusou a falar sobre o assunto.",Positivo,POSITIVE
291,"De acordo com o IDC, foram comercializados 29,4 milhões de dispositivos da empresa da maçã, 31,1% mais do que em 2019. Deste total, 23,7 milhões foram AirPods, os fones sem fio da companhia, e dispositivos de som da Beats. Este número é 25% maior do que o registrado no mesmo trimestre do ano passado.",Positivo,POSITIVE
293,Pesquisa inédita faz um raio X sobre a carreira em finanças,Neutro,NEUTRAL
294,"Antes do futebol, o BRB começou a relação com o Flamengo no basquete, que patrocinou no ano passado. Além de conta digital e cartão de crédito, o BRB e o Flamengo planejam vender todo tipo de produto, como capitalização e seguros. O Banco de Brasília também ganhou, com o patrocínio, o direito em transacionar a folha de pagamento dos funcionários do Flamengo.",Positivo,POSITIVE
296,"Os números mostraram que as pessoas físicas migraram de linhas de crédito com custos mais elevados para as de menor custo. Segundo o chefe do departamento econômico do BC, Tulio Maciel, esse comportamento foi estimulado porque o custo do crédito permaneceu em evidência na mídia.",Positivo,POSITIVE
297,"Hugh Grant, CEO da Monsanto, avaliou que seria positivo um acordo entre as companhias. “Acreditamos nos benefícios substanciais que uma estratégia integrada poderia fornecer aos produtores e sociedade em geral. Nós temos muito respeito pelos negócios da Bayer”. Entretanto, o executivo ponderou “a atual proposta não aborda adequadamente ou fornece garantias para a parte do financiamento potencial e riscos de execução regulamentares relacionados com a aquisição.”",Neutro,NEUTRAL
298,"Nos últimos anos, a Taurus tem tido prejuízo, em parte em função da variação do câmbio. Com isso, a distribuição de dividendos pela companhia foi afetada.",Negativo,NEGATIVE
299,"Em um mês positivo para o Ibovespa e com uma grande entrada de fluxo estrangeiro, favorecido ainda pelo cenário mais positivo para as commodities, que encontra no Brasil grandes representantes, a ação da Bolsa brasileira também foi favorecida. O ativo da B3 fechou com ganhos de 31,83%. O movimento foi ainda mais forte levando em conta a visão de que seu valuation é considerado barato por muitos bancos e casas de análise.",Positivo,POSITIVE
300,"No levantamento feito pelo Ibope e divulgado na noite de segunda-feira (24), Amoêdo aparece com 3% das intenções (mesmo resultado do último Datafolha), ou seja, ele precisa dobrar este número para conseguir ser convidado para o debate.",Neutro,NEUTRAL
301,"Em seu voto, o relator entendeu que há divergências nos depoimentos de Youssef e Costa e que não há provas suficientes para comprovar que Paulo Bernardo solicitou o dinheiro. ""Os demais elementos de prova, sejam documentais e testemunhais, não são aptos a confirmar a tese acusatória no sentido de que a solicitação da vantagem indevida a Paulo Roberto Costa tenha partido do denunciado Paulo Bernardo"", afirmou.",Negativo,NEGATIVE
